ID,label
83,8-Van
83,8-Van
83,8-Van
83,5-Lem
83,5-Lem
83,5-Lem
83,4-Rose
83,4-Rose
83,4-Rose
137,5-Lem
137,5-Lem
137,5-Lem
137,4-Rose
137,4-Rose
137,4-Rose
90,8-Van
90,8-Van
90,8-Van
90,5-Lem
90,5-Lem
90,5-Lem
90,4-Rose
90,4-Rose
90,4-Rose
131,8-Van
131,8-Van
131,8-Van
131,5-Lem
131,5-Lem
131,5-Lem
131,4-Rose
131,4-Rose
131,4-Rose
79,8-Van
79,8-Van
79,5-Lem
79,5-Lem
79,5-Lem
79,4-Rose
79,4-Rose
79,4-Rose
81,8-Van
81,5-Lem
81,5-Lem
81,5-Lem
81,4-Rose
81,4-Rose
81,4-Rose
138,8-Van
138,8-Van
138,8-Van
138,5-Lem
138,5-Lem
138,5-Lem
138,4-Rose
138,4-Rose
138,4-Rose
83,6-Ger
83,6-Ger
83,6-Ger
83,3-Ethyl
83,3-Ethyl
83,3-Ethyl
91,8-Van
91,8-Van
91,8-Van
91,5-Lem
91,5-Lem
91,5-Lem
91,4-Rose
91,4-Rose
91,4-Rose
92,8-Van
92,8-Van
92,8-Van
92,5-Lem
92,5-Lem
92,5-Lem
92,4-Rose
92,4-Rose
92,4-Rose
49,2-Hex
49,2-Hex
49,2-Hex
49,2-Hex
51,6-Ger
51,6-Ger
51,6-Ger
51,2-Hex
51,2-Hex
51,2-Hex
135,8-Van
135,8-Van
135,8-Van
135,5-Lem
135,5-Lem
135,5-Lem
135,4-Rose
135,4-Rose
135,4-Rose
53,6-Ger
53,6-Ger
53,6-Ger
53,2-Hex
53,2-Hex
53,2-Hex
53,3-Ethyl
53,3-Ethyl
53,3-Ethyl
55,3-Ethyl
55,3-Ethyl
55,3-Ethyl
55,2-Hex
55,2-Hex
55,2-Hex
55,6-Ger
55,6-Ger
55,6-Ger
58,7-Cit
58,7-Cit
58,7-Cit
15,7-Cit
15,1-Benz
15,1-Benz
17,1-Benz
17,1-Benz
17,1-Benz
17,7-Cit
17,7-Cit
17,7-Cit
60,3-Ethyl
60,3-Ethyl
60,3-Ethyl
60,6-Ger
60,6-Ger
60,6-Ger
60,2-Hex
60,2-Hex
60,2-Hex
62,2-Hex
62,2-Hex
62,2-Hex
62,3-Ethyl
62,3-Ethyl
62,3-Ethyl
20,1-Benz
20,1-Benz
20,1-Benz
20,7-Cit
20,7-Cit
20,7-Cit
20,2-Hex
20,2-Hex
20,2-Hex
23,1-Benz
23,1-Benz
23,1-Benz
23,7-Cit
23,7-Cit
23,7-Cit
23,6-Ger
23,6-Ger
23,6-Ger
23,6-Ger
23,6-Ger
94,8-Van
94,8-Van
94,8-Van
94,5-Lem
94,5-Lem
94,5-Lem
94,4-Rose
94,4-Rose
94,4-Rose
96,8-Van
96,8-Van
96,8-Van
96,5-Lem
96,5-Lem
96,5-Lem
96,4-Rose
96,4-Rose
96,4-Rose
41,6-Ger
41,6-Ger
41,6-Ger
41,2-Hex
41,2-Hex
41,2-Hex
133,8-Van
133,8-Van
133,8-Van
133,5-Lem
133,5-Lem
133,5-Lem
133,4-Rose
133,4-Rose
133,4-Rose
42,3-Ethyl
42,3-Ethyl
42,3-Ethyl
42,2-Hex
42,2-Hex
42,2-Hex
42,6-Ger
42,6-Ger
42,6-Ger
1,7-Cit
1,7-Cit
1,7-Cit
1,1-Benz
1,1-Benz
1,1-Benz
66,2-Hex
66,2-Hex
66,2-Hex
66,1-Benz
66,1-Benz
66,1-Benz
66,6-Ger
66,6-Ger
66,6-Ger
66,3-Ethyl
66,3-Ethyl
66,3-Ethyl
66,7-Cit
66,7-Cit
66,7-Cit
68,2-Hex
68,2-Hex
68,2-Hex
3,7-Cit
3,7-Cit
3,7-Cit
3,1-Benz
3,1-Benz
3,1-Benz
3,3-Ethyl
3,3-Ethyl
3,3-Ethyl
3,3-Ethyl
3,3-Ethyl
3,3-Ethyl
73,7-Cit
73,7-Cit
73,7-Cit
73,3-Ethyl
73,3-Ethyl
73,3-Ethyl
73,6-Ger
73,6-Ger
73,6-Ger
73,1-Benz
73,1-Benz
73,1-Benz
75,6-Ger
75,6-Ger
75,6-Ger
75,3-Ethyl
75,3-Ethyl
75,3-Ethyl
75,1-Benz
75,1-Benz
75,1-Benz
75,7-Cit
75,7-Cit
75,7-Cit
77,7-Cit
77,7-Cit
77,7-Cit
77,1-Benz
77,1-Benz
77,1-Benz
77,6-Ger
77,6-Ger
77,6-Ger
77,3-Ethyl
77,3-Ethyl
77,3-Ethyl
5,1-Benz
5,1-Benz
5,1-Benz
5,7-Cit
5,7-Cit
5,7-Cit
5,1-Benz
5,1-Benz
26,2-Hex
26,2-Hex
26,2-Hex
26,6-Ger
26,6-Ger
26,6-Ger
26,7-Cit
26,7-Cit
26,7-Cit
26,1-Benz
26,1-Benz
26,1-Benz
139,5-Lem
139,5-Lem
139,5-Lem
139,4-Rose
139,4-Rose
139,4-Rose
141,8-Van
141,8-Van
141,8-Van
141,5-Lem
141,5-Lem
141,5-Lem
141,4-Rose
141,4-Rose
141,4-Rose
27,2-Hex
27,2-Hex
27,2-Hex
27,3-Ethyl
27,3-Ethyl
27,3-Ethyl
27,7-Cit
27,7-Cit
27,7-Cit
27,1-Benz
27,1-Benz
27,1-Benz
27,6-Ger
27,6-Ger
27,6-Ger
33,2-Hex
33,2-Hex
33,2-Hex
33,3-Ethyl
33,3-Ethyl
33,3-Ethyl
33,6-Ger
33,6-Ger
33,6-Ger
35,1-Benz
35,1-Benz
35,1-Benz
35,6-Ger
35,6-Ger
35,6-Ger
35,2-Hex
35,2-Hex
35,2-Hex
79,7-Cit
79,7-Cit
79,7-Cit
79,6-Ger
79,6-Ger
79,6-Ger
9,7-Cit
9,7-Cit
9,1-Benz
9,1-Benz
9,1-Benz
142,8-Van
142,8-Van
142,8-Van
142,5-Lem
142,5-Lem
142,5-Lem
142,4-Rose
142,4-Rose
142,4-Rose
81,6-Ger
81,6-Ger
81,6-Ger
47,2-Hex
47,2-Hex
47,2-Hex
47,6-Ger
47,6-Ger
47,6-Ger
37,7-Cit
37,7-Cit
37,7-Cit
37,6-Ger
37,6-Ger
37,6-Ger
37,3-Ethyl
37,3-Ethyl
37,3-Ethyl
86,8-Van
86,8-Van
86,8-Van
11,7-Cit
11,7-Cit
11,7-Cit
13,7-Cit
13,7-Cit
13,1-Benz
13,1-Benz
13,1-Benz
25,2-Hex
25,2-Hex
25,2-Hex
25,2-Hex
25,2-Hex
25,2-Hex
25,1-Benz
25,1-Benz
