t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,label,ID,date,channel
223.8333333,219.1666667,231.5,246.5,237.5,184.8333333,118.8333333,96.16666667,126.8333333,134.5,71.16666667,68.83333333,338.5,750.1666667,531.8333333,-1380.5,-5391.166667,-10588.83333,-15195.5,-17835.16667,-18439.16667,-17969.16667,-17349.5,-16685.83333,-15456.16667,-13287.5,-10470.16667,-7740.166667,-5635.833333,-4074.166667,-2509.833333,-504.1666667,1877.833333,4176.5,5986.166667,7244.833333,8142.5,8837.5,9327.5,9574.5,9678.166667,9860.166667,10281.16667,10903.16667,11508.16667,11850.83333,11833.83333,11576.83333,11321.16667,11199.83333,11095.83333,10748.5,10025.83333,9098.833333,8305.5,7821.166667,7502.5,7058.166667,6347.166667,5502.166667,4768.5,4276.5,3930.5,3503.166667,2821.166667,1915.5,1026.5,459.8333333,376.8333333,692.5,1182.166667,1660.166667,2061.5,2373.5,2581.166667,2686.166667,2748.5,2849.166667,2993.833333,3084.166667,2993.166667,2690.166667,2260.833333,1838.5,1501.5,1238.166667,992.1666667,725.1666667,444.8333333,183.8333333,-47.5,-270.5,-526.5,-845.8333333,-1227.5,-1637.833333,-2031.5,-2372.5,-2652.5,-2890.833333,-3100.833333,-3271.166667,-3375.833333,-3409.5,-3410.166667,-3432.166667,-3495.833333,-3553.833333,-3539.833333,-3428.166667,-3269.5,-3144.833333,-3093.833333,-3086.833333,-3081.5,-3078.5,-3123.166667,-3248.833333,-3428.166667,-3587.166667,-3674.166667,-3693.166667,-3670.833333,-3613.833333,-3501.833333,-3322.833333,-3103.833333,-2900.5,-2753.166667,-2655.833333,-2569.833333,-2455.166667,-2290.5,-2082.833333,-1852.5,-1615.833333,-1387.166667,-1177.166667,-1010.833333,-918.1666667,-909.5,-957.1666667,-1013.833333,-1051.166667,-1082.5,-1132.166667,-1195.5,-1221.833333,-1157.166667,-986.1666667,-745.8333333,2-Hex,20,14.6.21,1
1055.5,1068.833333,1110.166667,1165.166667,1196.166667,1172.5,1112.5,1057.833333,1018.5,949.1666667,816.8333333,714.5,804.1666667,1033.833333,884.5,-511.8333333,-3808.5,-8832.166667,-14491.83333,-19308.5,-22156.5,-22719.5,-21444.83333,-19120.16667,-16360.5,-13346.83333,-9984.5,-6308.5,-2712.166667,253.5,2334.833333,3756.5,4961.5,6184.166667,7339.833333,8262.5,8965.166667,9631.166667,10420.16667,11313.16667,12138.83333,12695.83333,12860.83333,12627.83333,12082.83333,11357.5,10588.5,9900.5,9403.833333,9167.5,9168.5,9271.166667,9276.5,9027.5,8470.166667,7661.833333,6722.166667,5796.833333,5027.833333,4515.833333,4253.166667,4091.166667,3803.166667,3233.833333,2435.833333,1655.166667,1162.166667,1059.5,1241.5,1537.166667,1870.833333,2270.833333,2754.166667,3222.166667,3516.833333,3563.833333,3448.166667,3324.833333,3277.5,3256.833333,3147.833333,2898.833333,2572.5,2296.166667,2151.166667,2116.833333,2100.833333,2015.833333,1830.5,1573.5,1295.166667,1025.166667,766.1666667,507.8333333,244.1666667,-12.16666667,-253.8333333,-484.8333333,-729.8333333,-1016.166667,-1332.166667,-1633.5,-1871.166667,-2037.833333,-2156.5,-2255.5,-2338.166667,-2388.166667,-2404.166667,-2410.5,-2440.833333,-2509.166667,-2596.166667,-2670.166667,-2706.833333,-2700.833333,-2659.5,-2591.166667,-2506.5,-2429.5,-2385.5,-2382.5,-2394.166667,-2378.166667,-2316.166667,-2230.166667,-2166.166667,-2149.833333,-2158.5,-2135.166667,-2040.166667,-1887.5,-1734.833333,-1636.166667,-1595.833333,-1570.166667,-1510.5,-1409.5,-1293.166667,-1196.5,-1128.833333,-1068.5,-988.1666667,-871.5,-732.8333333,-599.5,-503.8333333,-455.1666667,-446.5,-464.5,-496.1666667,2-Hex,20,14.6.21,1
-133.1666667,-121.8333333,-94.5,-48.5,-0.5,27.83333333,43.83333333,76.16666667,142.8333333,194.5,143.1666667,-8.166666667,-73.5,139.1666667,401.8333333,-168.5,-2686.166667,-7547.833333,-13762.5,-19306.16667,-22343.16667,-22325.16667,-20123.5,-17207.83333,-14621.16667,-12515.5,-10434.16667,-7932.166667,-5006.833333,-2033.166667,625.1666667,2884.833333,4884.833333,6708.5,8233.166667,9230.833333,9609.5,9517.5,9262.5,9099.5,9090.166667,9089.166667,8900.166667,8469.166667,7966.166667,7661.833333,7679.833333,7868.833333,7922.166667,7657.833333,7188.833333,6813.5,6717.833333,6774.833333,6634.5,6008.166667,4934.5,3772.166667,2954.166667,2684.166667,2812.5,2976.5,2885.5,2516.166667,2073.166667,1756.5,1594.5,1481.833333,1378.833333,1412.5,1759.166667,2420.166667,3159.5,3668.5,3813.166667,3705.166667,3561.5,3517.166667,3544.833333,3547.166667,3471.166667,3355.166667,3273.833333,3257.5,3263.5,3202.166667,3016.166667,2705.166667,2320.833333,1922.833333,1557.5,1256.5,1030.5,862.1666667,705.5,504.1666667,223.5,-128.5,-511.5,-879.8333333,-1200.833333,-1462.166667,-1665.833333,-1825.5,-1962.166667,-2090.166667,-2201.833333,-2273.833333,-2300.833333,-2317.166667,-2371.5,-2485.833333,-2629.833333,-2756.833333,-2848.5,-2913.5,-2949.166667,-2928.833333,-2823.166667,-2657.166667,-2503.166667,-2424.166667,-2419.833333,-2433.833333,-2409.833333,-2340.833333,-2263.833333,-2210.5,-2174.166667,-2118.833333,-2021.833333,-1904.166667,-1816.5,-1788.833333,-1803.5,-1816.833333,-1799.166667,-1759.166667,-1714.833333,-1661.166667,-1566.5,-1412.166667,-1224.833333,-1069.166667,-996.5,-993.1666667,-999.5,-959.8333333,-876.1666667,-793.1666667,-744.8333333,2-Hex,20,14.6.21,1
56.66666667,57.66666667,63.66666667,82,107.6666667,126.3333333,141.6666667,167.3333333,207,227.6666667,199,172.3333333,248.6666667,400.3333333,279.6666667,-705,-2957,-6245.666667,-9694.333333,-12295,-13530.66667,-13566.66667,-12958,-12190.33333,-11449.66667,-10682,-9763,-8603,-7191.666667,-5614.666667,-4037,-2629.333333,-1470.666667,-500.6666667,413.3333333,1365,2334.333333,3217,3916.333333,4421.333333,4805.333333,5161.666667,5532.666667,5887.666667,6153.333333,6264,6211.666667,6059.333333,5894.666667,5764.666667,5644.333333,5479.333333,5260.333333,5041.666667,4889.666667,4792.666667,4667.666667,4425.666667,4056,3635,3248.333333,2925.333333,2634.666667,2335,2040,1813.666667,1710.333333,1719.333333,1775.666667,1819.666667,1846,1897.333333,1996.666667,2119.666667,2222.666667,2289.333333,2349.333333,2430.666667,2515.333333,2547.333333,2465.333333,2261.333333,1986.333333,1711,1478,1281.333333,1084,865.6666667,639.3333333,436.3333333,266,95.66666667,-117,-390.6666667,-694,-981.3333333,-1225.333333,-1425,-1591.333333,-1722.666667,-1804.333333,-1830,-1809.666667,-1762,-1697,-1612,-1498.333333,-1369,-1254.333333,-1188.666667,-1187.666667,-1236.666667,-1313,-1409,-1533,-1691.333333,-1864.333333,-2010.666667,-2093,-2115.333333,-2106,-2097.333333,-2098,-2092,-2059,-1993,-1904,-1815,-1736.666667,-1670.333333,-1601,-1520,-1421,-1304,-1174,-1040.666667,-923,-831.6666667,-763.3333333,-702,-631.6666667,-558.6666667,-508,-495.3333333,-511,-525,-506,-442.3333333,-351.3333333,-261,-194,2-Hex,19,14.6.21,2
-192.5,-188.5,-172.5,-157.1666667,-151.5,-155.8333333,-152.5,-130.8333333,-101.1666667,-96.5,-129.1666667,-153.8333333,-118.5,-64.83333333,-187.5,-764.1666667,-1996.166667,-3892.833333,-6270.5,-8820.166667,-11166.83333,-12929.83333,-13842.16667,-13848.5,-13101.83333,-11843.16667,-10272.16667,-8504.166667,-6640.833333,-4809.833333,-3117.166667,-1580.5,-151.8333333,1187.166667,2374.166667,3329.833333,4056.166667,4647.833333,5187.166667,5664.166667,5992.166667,6123.5,6121.5,6120.5,6220.166667,6409.833333,6587.5,6649.166667,6578.5,6451.5,6349.166667,6264.166667,6110.166667,5827.5,5464.5,5135.5,4897.5,4703.5,4465.833333,4163.833333,3858.166667,3613.166667,3415.5,3197.833333,2917.833333,2596.5,2297.166667,2063.166667,1889.5,1755.5,1668.833333,1678.166667,1818.5,2058.5,2298.5,2442.166667,2458.166667,2389.5,2298.166667,2203.166667,2081.166667,1906.166667,1686.166667,1461.833333,1267.833333,1108.166667,947.8333333,751.5,508.1666667,241.1666667,-16.16666667,-256.5,-494.1666667,-739.8333333,-970.1666667,-1149.5,-1258.5,-1324.166667,-1393.5,-1492.833333,-1602.5,-1687.166667,-1730.833333,-1753.166667,-1784.166667,-1828.166667,-1862.5,-1867.166667,-1852.5,-1848.833333,-1874.833333,-1925.833333,-1975.166667,-2010.166667,-2033.166667,-2055.5,-2075.5,-2077.833333,-2056.166667,-2025.5,-2015.166667,-2041.5,-2090.166667,-2118.166667,-2091.166667,-2009.166667,-1904.166667,-1811.166667,-1739.833333,-1676.5,-1607.166667,-1540.166667,-1494.166667,-1476.166667,-1471.166667,-1447.833333,-1388.166667,-1305.833333,-1231.5,-1187.166667,-1162.833333,-1131.833333,-1073.166667,-991.5,-910.1666667,-848.1666667,-805.1666667,-758.5,-688.5,-586.1666667,-470.1666667,2-Hex,19,14.6.21,2
-634.5,-654.5,-673.5,-684.1666667,-690.5,-696.8333333,-702.5,-696.8333333,-675.1666667,-652.5,-649.1666667,-662.8333333,-656.5,-607.8333333,-586.5,-816.1666667,-1629.166667,-3293.833333,-5800.5,-8734.166667,-11389.83333,-13093.83333,-13561.16667,-12979.5,-11790.83333,-10377.16667,-8901.166667,-7385.166667,-5846.833333,-4360.833333,-3008.166667,-1820.5,-776.8333333,174.1666667,1087.166667,1979.833333,2822.166667,3556.833333,4142.166667,4567.166667,4833.166667,4957.5,5003.5,5082.5,5295.166667,5651.833333,6049.5,6337.166667,6409.5,6248.5,5927.166667,5566.166667,5287.166667,5138.5,5063.5,4942.5,4693.5,4351.5,4030.833333,3818.833333,3696.166667,3564.166667,3340.5,3029.833333,2706.833333,2440.5,2250.166667,2113.166667,2016.5,1975.5,2012.833333,2107.166667,2186.5,2173.5,2058.5,1908.166667,1811.166667,1798.5,1824.166667,1824.166667,1766.166667,1668.166667,1559.166667,1445.833333,1306.833333,1117.166667,875.8333333,612.5,362.1666667,141.1666667,-57.16666667,-249.5,-438.1666667,-608.8333333,-749.1666667,-861.5,-965.5,-1079.166667,-1203.5,-1319.833333,-1405.5,-1462.166667,-1510.833333,-1573.166667,-1653.166667,-1724.166667,-1758.5,-1749.166667,-1723.5,-1720.833333,-1759.833333,-1822.833333,-1871.166667,-1883.166667,-1869.166667,-1860.5,-1874.5,-1902.833333,-1919.166667,-1916.5,-1907.166667,-1916.5,-1950.166667,-1995.166667,-2030.166667,-2045.166667,-2047.166667,-2039.166667,-2018.833333,-1976.5,-1915.166667,-1853.166667,-1811.166667,-1789.166667,-1766.166667,-1721.833333,-1656.166667,-1591.833333,-1545.5,-1513.166667,-1470.833333,-1403.833333,-1327.166667,-1269.5,-1245.166667,-1238.166667,-1215.166667,-1152.5,-1049.5,-933.1666667,-827.1666667,2-Hex,19,14.6.21,2
-40.83333333,-86.5,-116.8333333,-116.1666667,-102.8333333,-100.5,-115.1666667,-119.5,-99.83333333,-83.83333333,-96.16666667,-92.5,8.833333333,153.1666667,22.5,-804.8333333,-2459.166667,-4528.5,-6252.166667,-7044.166667,-6831.166667,-5960.166667,-4829.833333,-3653.166667,-2502.5,-1457.166667,-626.1666667,-46.5,388.8333333,844.5,1372.833333,1856.833333,2129.5,2148.166667,2035.5,1956.166667,1982.166667,2065.833333,2122.166667,2105.5,2028.833333,1924.833333,1830.166667,1767.166667,1736.166667,1707.5,1649.833333,1547.5,1410.5,1267.5,1148.833333,1070.5,1038.166667,1049.166667,1080.166667,1096.833333,1065.833333,987.1666667,891.8333333,810.8333333,744.1666667,666.8333333,560.1666667,441.1666667,337.8333333,263.5,210.8333333,181.1666667,186.1666667,241.5,351.1666667,501.5,680.5,877.8333333,1075.166667,1241.833333,1341.833333,1347.5,1254.833333,1087.833333,893.1666667,717.8333333,583.8333333,477.5,367.5,236.1666667,93.16666667,-31.5,-117.5,-167.5,-203.5,-246.1666667,-299.8333333,-355.8333333,-408.8333333,-460.1666667,-516.5,-575.5,-629.5,-673.1666667,-713.5,-754.8333333,-790.8333333,-808.8333333,-809.1666667,-813.8333333,-846.8333333,-915.1666667,-994.1666667,-1052.5,-1079.166667,-1085.833333,-1085.166667,-1083.166667,-1073.166667,-1046.5,-1000.833333,-934.5,-848.5,-755.8333333,-674.8333333,-618.1666667,-580.8333333,-549.8333333,-521.5,-504.8333333,-502.5,-500.8333333,-478.1666667,-429.1666667,-366.1666667,-312.5,-277.1666667,-256.8333333,-242.8333333,-226.8333333,-209.8333333,-196.8333333,-196.5,-207.5,-218.5,-218.1666667,-209.8333333,-203.1666667,-203.1666667,-199.5,-180.8333333,-146.5,-101.8333333,-51.5,6.5,1-Ethyl,3,21.6.21,1
-99.83333333,-141.5,-183.8333333,-209.1666667,-204.8333333,-165.5,-107.1666667,-50.5,-14.83333333,-13.83333333,-52.16666667,-93.5,-60.16666667,80.16666667,157.5,-219.8333333,-1409.166667,-3349.5,-5446.166667,-6914.166667,-7294.166667,-6697.166667,-5582.833333,-4386.166667,-3314.5,-2396.166667,-1599.166667,-884.5,-229.1666667,364.5,864.8333333,1249.833333,1533.5,1765.166667,1993.5,2231.166667,2444.166667,2573.833333,2576.166667,2465.5,2321.833333,2237.833333,2252.166667,2319.166667,2350.166667,2284.5,2132.833333,1970.5,1883.5,1907.5,1987.833333,2012.5,1898.166667,1655.166667,1366.166667,1117.833333,945.8333333,859.1666667,848.8333333,880.8333333,892.1666667,829.8333333,703.1666667,585.1666667,536.8333333,549.5,556.8333333,519.1666667,458.1666667,427.5,468.1666667,581.5,739.5,909.8333333,1061.166667,1176.833333,1251.833333,1281.5,1251.833333,1150.833333,983.1666667,788.8333333,613.8333333,482.5,380.5,277.1666667,155.1666667,26.5,-83.5,-163.5,-229.5,-307.1666667,-406.8333333,-516.8333333,-615.8333333,-690.1666667,-738.5,-769.5,-783.5,-782.1666667,-765.5,-739.8333333,-715.8333333,-698.8333333,-690.1666667,-685.8333333,-676.8333333,-655.1666667,-625.1666667,-596.5,-577.1666667,-569.8333333,-572.1666667,-580.1666667,-601.1666667,-646.5,-715.8333333,-796.5,-863.5,-896.8333333,-899.8333333,-886.1666667,-870.8333333,-852.8333333,-821.5,-766.8333333,-690.5,-609.8333333,-543.1666667,-503.1666667,-488.1666667,-486.5,-483.1666667,-467.8333333,-437.8333333,-394.8333333,-346.8333333,-299.8333333,-258.5,-223.5,-199.5,-188.1666667,-189.8333333,-192.1666667,-180.1666667,-151.5,-119.8333333,-97.5,-82.83333333,-67.5,-45.5,1-Ethyl,3,21.6.21,1
-190.8333333,-203.5,-185.8333333,-133.1666667,-70.83333333,-32.5,-32.16666667,-51.5,-77.83333333,-110.8333333,-125.1666667,-49.5,152.8333333,316.1666667,35.5,-1097.833333,-3075.166667,-5293.5,-6889.166667,-7331.166667,-6747.166667,-5714.166667,-4737.833333,-3938.166667,-3151.5,-2233.166667,-1233.166667,-312.5,415.8333333,950.5,1352.833333,1664.833333,1899.5,2089.166667,2303.5,2593.166667,2919.166667,3164.833333,3221.166667,3087.5,2874.833333,2714.833333,2654.166667,2640.166667,2579.166667,2422.5,2216.833333,2056.5,2006.5,2046.5,2085.833333,2053.5,1947.166667,1817.166667,1702.166667,1598.833333,1477.833333,1328.166667,1158.833333,997.8333333,873.1666667,804.8333333,781.1666667,766.1666667,714.8333333,607.5,460.8333333,317.1666667,216.1666667,183.5,238.1666667,389.5,624.5,893.8333333,1117.166667,1225.833333,1207.833333,1105.5,979.8333333,855.8333333,725.1666667,576.8333333,420.8333333,283.5,173.5,80.16666667,-20.83333333,-137.5,-263.5,-384.5,-488.5,-562.1666667,-601.8333333,-612.8333333,-616.8333333,-641.1666667,-696.5,-772.5,-843.5,-887.1666667,-900.5,-896.8333333,-889.8333333,-884.8333333,-878.1666667,-870.8333333,-869.8333333,-887.1666667,-921.1666667,-962.5,-991.1666667,-992.8333333,-959.1666667,-891.1666667,-809.1666667,-741.5,-707.8333333,-703.5,-708.5,-704.8333333,-688.8333333,-666.1666667,-638.8333333,-601.8333333,-556.5,-520.8333333,-504.5,-505.8333333,-505.1666667,-491.1666667,-465.1666667,-441.5,-428.1666667,-420.8333333,-406.8333333,-377.8333333,-338.8333333,-304.8333333,-284.5,-266.5,-231.5,-174.1666667,-112.8333333,-68.16666667,-46.16666667,-25.5,11.16666667,59.5,101.1666667,126.5,142.5,1-Ethyl,3,21.6.21,1
-122.1666667,-137.8333333,-142.1666667,-136.5,-129.1666667,-125.8333333,-121.5,-99.83333333,-60.16666667,-24.16666667,-15.5,0.166666667,85.5,208.8333333,121.1666667,-535.1666667,-1932.5,-3826.833333,-5641.5,-6838.5,-7197.5,-6823.5,-5969.166667,-4889.5,-3792.833333,-2819.5,-2016.5,-1339.833333,-703.5,-31.83333333,683.5,1376.5,1932.166667,2265.833333,2394.166667,2428.833333,2478.833333,2583.5,2723.833333,2882.166667,3047.5,3167.5,3137.833333,2887.833333,2479.833333,2088.166667,1861.5,1816.166667,1854.166667,1895.166667,1925.5,1959.166667,1976.833333,1936.833333,1838.833333,1739.5,1690.5,1683.833333,1649.5,1513.5,1260.833333,948.5,669.8333333,501.8333333,457.5,493.1666667,547.5,569.8333333,534.8333333,452.1666667,378.8333333,400.1666667,575.1666667,878.5,1199.833333,1411.5,1453.5,1349.166667,1177.5,1000.5,840.8333333,685.5,521.5,361.1666667,227.1666667,130.8333333,52.83333333,-28.83333333,-124.8333333,-224.8333333,-316.8333333,-406.5,-505.1666667,-617.1666667,-730.1666667,-829.5,-908.8333333,-972.8333333,-1021.833333,-1047.5,-1050.833333,-1047.166667,-1053.166667,-1071.166667,-1081.5,-1068.166667,-1031.166667,-991.5,-967.5,-964.8333333,-969.5,-970.1666667,-961.5,-948.5,-946.5,-955.8333333,-960.1666667,-937.8333333,-878.8333333,-800.1666667,-742.1666667,-733.5,-770.1666667,-818.1666667,-842.8333333,-829.1666667,-780.8333333,-712.1666667,-632.5,-547.5,-464.5,-396.8333333,-351.5,-324.1666667,-301.1666667,-262.1666667,-199.1666667,-118.1666667,-38.83333333,20.16666667,54.16666667,67.5,66.83333333,55.5,38.5,27.16666667,35.83333333,63.16666667,95.83333333,121.1666667,138.1666667,1-Ethyl,3,21.6.21,1
