scale,clip,derive,reduce,model,accuracy
False,False,True,False,random_forest,0.8056872037914692
False,False,False,False,gradient_boosting,0.7575757575757576
False,False,False,False,random_forest,0.7339901477832512
False,False,False,False,gradient_boosting,0.7336448598130841
False,False,False,False,random_forest,0.7016574585635359
True,True,True,False,logistic_regression,0.694300518134715
True,False,False,False,logistic_regression,0.6923076923076923
False,True,True,False,gradient_boosting,0.6852791878172588
False,True,False,False,random_forest,0.6796116504854369
True,False,True,False,logistic_regression,0.6748768472906403
False,False,True,False,gradient_boosting,0.6703296703296703
False,True,False,False,gradient_boosting,0.6702702702702703
False,False,True,False,random_forest,0.6700507614213198
False,True,True,False,logistic_regression,0.6666666666666666
False,True,True,False,gradient_boosting,0.6666666666666666
False,False,True,False,logistic_regression,0.6636363636363637
False,True,True,False,logistic_regression,0.6635071090047393
True,True,False,False,gradient_boosting,0.6585365853658537
False,True,False,False,random_forest,0.6568627450980392
True,False,True,False,gradient_boosting,0.6470588235294118
False,True,True,False,random_forest,0.6464646464646465
True,True,False,False,random_forest,0.6458333333333334
True,False,True,False,logistic_regression,0.6445497630331753
True,True,True,False,logistic_regression,0.6432748538011696
True,False,False,False,random_forest,0.6411483253588517
False,False,True,False,gradient_boosting,0.6391752577319587
False,True,False,False,logistic_regression,0.6358381502890174
True,True,True,False,random_forest,0.6302083333333334
False,True,False,False,gradient_boosting,0.63
False,False,False,False,logistic_regression,0.6232558139534884
True,False,True,False,gradient_boosting,0.6225490196078431
False,True,True,False,random_forest,0.6225490196078431
True,False,True,False,MLP,0.6190476190476191
True,False,True,False,random_forest,0.6170212765957447
True,True,False,False,gradient_boosting,0.6153846153846154
False,True,False,False,logistic_regression,0.6146788990825688
True,True,False,False,logistic_regression,0.6142131979695431
True,True,False,False,MLP,0.5849056603773585
True,True,True,False,MLP,0.5842105263157895
True,True,True,False,random_forest,0.5812807881773399
True,False,True,False,random_forest,0.5786163522012578
True,False,False,False,gradient_boosting,0.5778894472361809
True,True,True,False,gradient_boosting,0.5685279187817259
True,False,False,False,MLP,0.5524861878453039
False,False,False,False,logistic_regression,0.5514018691588785
True,True,False,False,logistic_regression,0.5497076023391813
False,False,True,False,logistic_regression,0.5357142857142857
True,False,False,False,random_forest,0.5340314136125655
True,False,False,False,gradient_boosting,0.5103092783505154
True,True,False,False,random_forest,0.4827586206896552
True,True,False,True,MLP,0.4684210526315789
False,False,True,True,random_forest,0.4680851063829787
True,False,False,False,logistic_regression,0.4449760765550239
True,False,True,True,random_forest,0.4210526315789473
True,False,False,True,logistic_regression,0.4157894736842105
False,False,False,True,random_forest,0.3686635944700461
True,True,False,True,logistic_regression,0.336322869955157
False,True,False,True,gradient_boosting,0.3265306122448979
False,True,True,True,MLP,0.3243243243243243
False,True,True,True,random_forest,0.3202247191011236
False,True,False,True,random_forest,0.3127962085308057
True,False,True,True,logistic_regression,0.282051282051282
False,True,False,True,random_forest,0.2780487804878049
False,False,True,True,random_forest,0.2647058823529412
False,False,True,True,MLP,0.2364532019704433
True,True,False,True,random_forest,0.2193877551020408
False,True,True,False,MLP,0.2095238095238095
False,False,False,True,gradient_boosting,0.2085308056872037
False,True,True,True,logistic_regression,0.203125
False,False,True,True,gradient_boosting,0.1898148148148148
False,True,False,True,gradient_boosting,0.1826923076923076
False,False,False,True,logistic_regression,0.1513513513513513
False,False,False,False,MLP,0.1502890173410404
False,False,True,False,MLP,0.1339712918660287
True,False,True,True,MLP,0.1313131313131313
True,False,True,True,random_forest,0.1304347826086956
True,True,True,True,random_forest,0.1111111111111111
False,False,False,True,gradient_boosting,0.1105990783410138
True,False,False,True,gradient_boosting,0.1105527638190954
False,True,False,False,MLP,0.1100478468899521
False,True,False,True,logistic_regression,0.101010101010101
True,True,False,True,logistic_regression,0.0909090909090909
True,False,False,True,gradient_boosting,0.0904522613065326
False,False,False,True,MLP,0.0897435897435897
True,False,True,True,logistic_regression,0.0886699507389162
True,False,False,True,random_forest,0.087378640776699
True,True,True,True,logistic_regression,0.086021505376344
True,False,False,True,random_forest,0.0725388601036269
False,True,False,True,logistic_regression,0.0704225352112676
True,False,False,True,MLP,0.0549450549450549
False,True,True,True,gradient_boosting,0.0485436893203883
True,True,False,True,random_forest,0.0458715596330275
False,False,True,True,gradient_boosting,0.045045045045045
False,False,True,True,logistic_regression,0.0363636363636363
True,False,False,True,logistic_regression,0.0360824742268041
True,True,True,True,gradient_boosting,0.0346820809248554
True,True,True,True,MLP,0.0324324324324324
False,True,True,True,logistic_regression,0.03
False,False,True,True,logistic_regression,0.0260416666666666
False,False,False,True,logistic_regression,0.0223214285714285
False,False,False,True,random_forest,0.0222222222222222
True,False,True,True,gradient_boosting,0.0151515151515151
True,True,False,True,gradient_boosting,0.0104712041884816
False,True,False,True,MLP,0.0047619047619047
False,True,True,True,random_forest,0.0
False,True,True,True,random_forest,0.0
True,True,True,True,logistic_regression,0.0
